date,hs_emp_prop
2007-01-01,60
2007-04-01,59.3
2007-07-01,59
2007-10-01,62.3
2008-01-01,63.6
2008-04-01,63.7
2008-07-01,59.8
2008-10-01,58.2
2009-01-01,60.3
2009-04-01,58.6
2009-07-01,56.1
2009-10-01,56.3
2010-01-01,56.5
2010-04-01,56.3
2010-07-01,52.8
2010-10-01,55.6
2011-01-01,57.1
2011-04-01,56.4
2011-07-01,53.4
2011-10-01,55.2
2012-01-01,56.3
2012-04-01,55.3
2012-07-01,51.9
2012-10-01,52
2013-01-01,52.8
2013-04-01,52.3
2013-07-01,52.4
2013-10-01,55.5
2014-01-01,57.2
2014-04-01,58.8
2014-07-01,58.2
2014-10-01,57.9
2015-01-01,57.2
2015-04-01,56.9
2015-07-01,54.6
2015-10-01,54.3
2016-01-01,56.6
2016-04-01,56.5
2016-07-01,54.8
2016-10-01,55.4
2017-01-01,57.9
2017-04-01,58.9
2017-07-01,56.6
2017-10-01,57.7
2018-01-01,57.7
2018-04-01,56.6
2018-07-01,56.6
2018-10-01,57
2019-01-01,59.2
2019-04-01,57.7
2019-07-01,56.4
2019-10-01,59
2020-01-01,59.5
2020-04-01,58.4
2020-07-01,57.5
2020-10-01,56.9
