location,gdp_hr_worked,date,multifactor_prod_agrwth,capital_services_pc_growth,adult_education_pc,avg_wage,trade_union_density,int_trade_pc_gdp,transport_investment_eur,unemployment_pc,r_and_d_spending_pc,flexible_work_pc
AUS,26.783084,1970-01-01,NA,NA,NA,NA,NA,12318.9327,NA,NA,NA,NA
AUS,27.452554,1971-01-01,NA,NA,NA,NA,NA,15872.8528,NA,NA,NA,NA
AUS,28.05676,1972-01-01,NA,NA,NA,NA,NA,16310.2107,NA,NA,NA,NA
AUS,28.634586,1973-01-01,NA,NA,NA,NA,NA,9555.7517,NA,NA,NA,NA
AUS,28.178901,1974-01-01,NA,NA,NA,NA,NA,11980.4223,NA,NA,NA,NA
AUS,29.221907,1975-01-01,NA,NA,NA,NA,NA,14316.4543,NA,NA,NA,NA
AUS,29.709708,1976-01-01,NA,NA,NA,NA,NA,14860.1056,NA,NA,NA,NA
AUS,29.676095,1977-01-01,NA,NA,NA,NA,NA,16726.1867,NA,NA,NA,NA
AUS,30.928196,1978-01-01,NA,NA,NA,NA,NA,17709.1066,NA,NA,NA,NA
AUS,31.078151,1979-01-01,NA,NA,NA,NA,NA,20544.2986,NA,6.2600002288818404,NA,NA
AUS,31.411444,1980-01-01,NA,NA,NA,NA,NA,16289.5474,NA,6.1100001335143999,NA,NA
AUS,32.339389,1981-01-01,NA,NA,NA,NA,NA,14379.6245,NA,5.7800002098083496,NA,NA
AUS,32.743832,1982-01-01,NA,NA,NA,NA,NA,16945.34,NA,7.1599998474121103,NA,NA
AUS,33.564224,1983-01-01,NA,NA,NA,NA,NA,18657.1027,NA,9.9600000381469709,NA,NA
AUS,34.298849,1984-01-01,NA,NA,NA,NA,NA,21212.8154,NA,8.9899997711181605,NA,NA
AUS,34.24144,1985-01-01,-0.764566,5.402126,NA,NA,NA,23280.4284,NA,8.2600002288818395,NA,NA
AUS,34.244212,1986-01-01,-0.734375,5.203063,NA,NA,NA,30245.4307,NA,8.0799999237060494,NA,NA
AUS,34.95395,1987-01-01,1.606074,5.207578,NA,NA,NA,31971.7779,NA,8.1099996566772496,NA,NA
AUS,34.846476,1988-01-01,-0.600157,5.329863,NA,NA,NA,24371.8393,NA,7.2300000190734899,NA,NA
AUS,34.95877,1989-01-01,-0.218278,5.07051,30.581482,NA,NA,25116.0333,NA,6.1799998283386204,NA,NA
AUS,34.331528,1990-01-01,-2.445257,3.474053,NA,36682.9424245499,NA,35389.5738,NA,6.9299998283386204,NA,NA
AUS,35.1256,1991-01-01,0.771477,2.812846,31.15881,36776.247678289,NA,41200.1717,NA,9.5799999237060494,NA,38.650001525878899
AUS,36.203582,1992-01-01,2.338319,3.199059,NA,37692.1293581794,NA,44601.926,NA,10.7299995422363,NA,37.590000152587898
AUS,36.281321,1993-01-01,0.430123,3.21471,22.469191,38112.6902790538,NA,49742.0474,NA,10.8699998855591,NA,39.830001831054702
AUS,36.342676,1994-01-01,0.166251,3.81537,23.072365,38488.1166339944,NA,46084.1942,NA,9.7200002670288104,NA,38.700000762939503
AUS,37.440841,1995-01-01,2.115822,4.050367,24.315445,38437.083762478,NA,53683.8836,2996733853,8.4700002670288104,NA,39.200000762939503
