"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,5.402126,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,5.203063,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,5.207578,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,5.329863,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,5.07051,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,3.474053,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,2.812846,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,3.199059,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,3.21471,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,3.81537,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,4.050367,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,4.334622,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,4.876099,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,4.540352,,
"AUS","Australia","T_KSER","Total capital services","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,4.693808,,
